"uri.URI","type.Type","name.Nom","geometry.geometry","rdfs.comment.Description","vocabulary.hasCreationDate.Date.de.création","vocabulary.hasDestructionDate.Date.de.destruction","vocabulary.hasFactorLevel.Modalité.de.facteur","vocabulary.hasGermplasm.Matériel.génétique","vocabulary.isHosted.Est.accueillie","vocabulary.isPartOf.Est.une.partie.de","NA.NA","NA.NA.1","NA.NA.2"
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/214","vocabulary:SubPlot",214,"LINESTRING (0.4174782 44.3322332, 0.4175652 44.3322868)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 2
Arbre : 16-13 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 2
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/215","vocabulary:SubPlot",215,"LINESTRING (0.4175942 44.3323047, 0.4176812 44.3323583)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 2
Arbre : 20-17 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 2
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/216","vocabulary:SubPlot",216,"LINESTRING (0.4177102 44.3323762, 0.4177972 44.3324298)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 2
Arbre : 24-21 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 2
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/217","vocabulary:SubPlot",217,"LINESTRING (0.4171795 44.3319779, 0.4172665 44.3320315)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/218","vocabulary:SubPlot",218,"LINESTRING (0.4172955 44.3320494, 0.4173825 44.332103)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/219","vocabulary:SubPlot",219,"LINESTRING (0.4174114 44.3321209, 0.4174984 44.3321745)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/22","vocabulary:SubPlot",22,"LINESTRING (0.4159573 44.3322891, 0.4160432 44.3323423)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13 Variété : Spu
Porte-Greffe : Ish
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/220","vocabulary:SubPlot",220,"LINESTRING (0.4175274 44.3321924, 0.4176144 44.332246)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/221","vocabulary:SubPlot",221,"LINESTRING (0.4176434 44.3322639, 0.4177304 44.3323175)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/222","vocabulary:SubPlot",222,"LINESTRING (0.4177594 44.3323354, 0.4178464 44.3323891)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/223","vocabulary:SubPlot",223,"LINESTRING (0.4172287 44.3319371, 0.4173157 44.3319907)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/224","vocabulary:SubPlot",224,"LINESTRING (0.4173447 44.3320086, 0.4174317 44.3320623)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/225","vocabulary:SubPlot",225,"LINESTRING (0.4174607 44.3320801, 0.4175476 44.3321338)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/226","vocabulary:SubPlot",226,"LINESTRING (0.4175766 44.3321516, 0.4176636 44.3322053)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/227","vocabulary:SubPlot",227,"LINESTRING (0.4176926 44.3322231, 0.4177796 44.3322768)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/228","vocabulary:SubPlot",228,"LINESTRING (0.4178086 44.3322947, 0.4178956 44.3323483)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/229","vocabulary:SubPlot",229,"LINESTRING (0.4172779 44.3318964, 0.4173649 44.33195)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/23","vocabulary:SubPlot",23,"LINESTRING (0.4160719 44.3323601, 0.4161578 44.3324133)","Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17 Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/230","vocabulary:SubPlot",230,"LINESTRING (0.4173939 44.3319679, 0.4174809 44.3320215)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/231","vocabulary:SubPlot",231,"LINESTRING (0.4175099 44.3320394, 0.4175969 44.332093)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/232","vocabulary:SubPlot",232,"LINESTRING (0.4176259 44.3321109, 0.4177129 44.3321645)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/233","vocabulary:SubPlot",233,"LINESTRING (0.4177418 44.3321824, 0.4178288 44.332236)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/234","vocabulary:SubPlot",234,"LINESTRING (0.4178578 44.3322539, 0.4179448 44.3323075)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/235","vocabulary:SubPlot",235,"LINESTRING (0.4173271 44.3318556, 0.4174141 44.3319092)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/236","vocabulary:SubPlot",236,"LINESTRING (0.4174431 44.3319271, 0.4175301 44.3319807)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/237","vocabulary:SubPlot",237,"LINESTRING (0.4175591 44.3319986, 0.4176461 44.3320522)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/238","vocabulary:SubPlot",238,"LINESTRING (0.4176751 44.3320701, 0.4177621 44.3321237)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/239","vocabulary:SubPlot",239,"LINESTRING (0.4177911 44.3321416, 0.4178781 44.3321953)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/24","vocabulary:SubPlot",24,"LINESTRING (0.4161864 44.332431, 0.4162724 44.3324842)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/240","vocabulary:SubPlot",240,"LINESTRING (0.4179071 44.3322131, 0.4179941 44.3322668)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/241","vocabulary:SubPlot",241,"LINESTRING (0.4173763 44.3318148, 0.4174633 44.3318685)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/242","vocabulary:SubPlot",242,"LINESTRING (0.4174923 44.3318863, 0.4175793 44.33194)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/243","vocabulary:SubPlot",243,"LINESTRING (0.4176083 44.3319578, 0.4176953 44.3320115)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
